asal,tujuan
premannn,preman
prepare,mempersiapkan
price,harga
pricey,mahal
prlu,perlu
productive,produktif
promo,promosi
promo-promo,promosi
promoanyaa,promosi
promonya,promosi
pros,kelebihan
prtm,pertama
prgs,pegawai
puanas,panas
puanasseeeee,panas
pwoll,sangat
quality,kualitas
queue,antrean
rama2,ramah
ramaah,ramah
ramah2,ramah
rama2nya,ramah
ramaha,ramah
ramahh,ramah
rame,ramai
rame-rame,ramai
rasa2,rasa
rasanyaa,rasa
ready,siap
really,sangat
recom,rekomendasi
recomen,rekomendasi
recomend,rekomendasi
recomendasiin,rekomendasi
recommend,rekomendasi
recommended,rekomendasi
rekom,rekomendasi
rekomen,rekomendasi
rekomend,rekomendasi
rekomended,rekomendasi
rese,menyebalkan
respon,tanggapan
response,tanggapan
rest,istirahat
review,penilaian
reviewnya,penilaian
reward,hadiah
rewards,hadiah
rich,kaya
richess,kaya
right,betul
risih,risi
riview,penilaian
room,ruangan
sagat,sangat
sangaaaaat,sangat
sangaaaat,sangat
sangat2,sangat
sangat2x,sangat
sangatt,sangat
sangking,sangat
santaiii,santai
satset,cepat
savory,gurih
sayamg,sayang
sdikit,sedikit
sdkit,sedikit
seger-seger,segar
segerr,segar
segerrr,segar
sekalu,sekali
sempiiit,sempit
serve,melayani
server,pelayan
servernya,pelayan
service,pelayanan
servicenya,pelayanan
servise,pelayanan
sevice,pelayanan
seyum,senyum
sgtt,sangat
shoope,aplikasi
shopee,aplikasi
shopeenya,aplikasi
shopeepay,aplikasi
shoppefood,aplikasi
siip,mantap
sikatt,mantap
sipp,mantap
sipppp,mantap
skuyy,ayo
slow,lambat
sma,sama
smaa,sama
small,kecil
sok2,sombong
space,ruangan
spacenya,ukurannya
spacious,lebar
spgnya,pelayan
spot,tempat
sptnya,sepertinya
spy,supaya
staff,pegawai
staffnya,pegawai
standard,standar
store,toko
storenya,toko
street,jalan
strong,kuat
style,bergaya
suguhin,menyajikan
suiiip,mantap
sukaa,suka
sukaaaa,suka
sukaaaaaaa,suka
sumuk,panas
supeeeerrrrrr,mantap
superindo,swalayan
surendull,mantap
surprisingly,mengejutkan
sursprise,kejutan
susahh,sulit
suwabaaarr,sabar
suwiiine,lambat
syukak,suka
syulit,sulit
tai,tahi
take,ambil
take-away,bungkus
takeaway,bungkus
tapiii,tetapi
taste,rasa
tastenya,rasanya
tasty,enak
tenkyu,terima kasih
tetep,tetap
thank,terima kasih
thanks,terima kasih
tingkahlaku,tingkah laku
tlng,tolong
tlong,tolong
tnp,tanpa
tolomg,tolong
tolonk,tolong
trlmbt,terlambat
trlng,tolong
ueeanaak,enak
uenak,enak
uenakkkk,enak
uenakkkkk,enak
unikk,unik
uwenak,enak
very,sangat
view,pemandangan
viewnya,pemandangan
waited,menunggu
waiter,pelayan
waiters,pelayan
waitersnya,pelayan
waiting,menunggu
waitress,pelayan
well,bagus
wenaaakkk,enak
wifi,internet
wifi-nya,internet
wifinya,internet
workers,pegawai
wueanak,enak
yummy,enak
